thoi_gian,dong_tien,don_hang,san_pham,khu_vuc,cua_hang,nhom_san_pham,revenue
121,32577,1407,2209,Trung,CH3,ThucPham,101808
122,32714,1424,2238,Nam,CH1,GiaDung,108963
123,32851,1441,2267,Bac,CH2,DienTu,117267
124,32988,1458,2296,Trung,CH3,ThucPham,105112
125,33125,1475,2325,Nam,CH1,GiaDung,112462
126,33262,1492,2354,Bac,CH2,DienTu,120993
127,33399,1509,2383,Trung,CH3,ThucPham,108417
128,33536,1526,2412,Nam,CH1,GiaDung,115960
129,33673,1543,2441,Bac,CH2,DienTu,124718
130,33810,460,2470,Trung,CH3,ThucPham,57865
131,33947,477,2499,Nam,CH1,GiaDung,62435
132,34084,494,2528,Bac,CH2,DienTu,67724
133,34221,511,2557,Trung,CH3,ThucPham,61169
134,34358,528,2586,Nam,CH1,GiaDung,65934
135,34495,545,2615,Bac,CH2,DienTu,71449
136,34632,562,2644,Trung,CH3,ThucPham,64474
137,34769,579,2673,Nam,CH1,GiaDung,69433
138,34906,596,2702,Bac,CH2,DienTu,75175
139,35043,613,2731,Trung,CH3,ThucPham,67778
140,35180,630,2760,Nam,CH1,GiaDung,72931
141,35317,647,2789,Bac,CH2,DienTu,78900
142,35454,664,2818,Trung,CH3,ThucPham,71082
143,35591,681,2847,Nam,CH1,GiaDung,76430
144,35728,698,2876,Bac,CH2,DienTu,82626
145,35865,715,2905,Trung,CH3,ThucPham,74387
146,36002,732,2934,Nam,CH1,GiaDung,79929
147,36139,749,2963,Bac,CH2,DienTu,86351
148,36276,766,2992,Trung,CH3,ThucPham,77691
149,36413,783,3021,Nam,CH1,GiaDung,83427
150,36550,800,3050,Bac,CH2,DienTu,90077
151,36687,817,3079,Trung,CH3,ThucPham,80995
152,36824,834,908,Nam,CH1,GiaDung,71482
153,36961,851,937,Bac,CH2,DienTu,77357
154,37098,868,966,Trung,CH3,ThucPham,69714
155,37235,885,995,Nam,CH1,GiaDung,74981
156,37372,902,1024,Bac,CH2,DienTu,81083
157,37509,919,1053,Trung,CH3,ThucPham,73018
158,37646,936,1082,Nam,CH1,GiaDung,78480
159,37783,953,1111,Bac,CH2,DienTu,84808
160,37920,970,1140,Trung,CH3,ThucPham,76323
161,38057,987,1169,Nam,CH1,GiaDung,81978
162,38194,1004,1198,Bac,CH2,DienTu,88534
163,38331,1021,1227,Trung,CH3,ThucPham,79627
164,38468,1038,1256,Nam,CH1,GiaDung,85477
165,38605,1055,1285,Bac,CH2,DienTu,92259
166,38742,1072,1314,Trung,CH3,ThucPham,82931
167,38879,1089,1343,Nam,CH1,GiaDung,88976
168,39016,1106,1372,Bac,CH2,DienTu,95985
169,39153,1123,1401,Trung,CH3,ThucPham,86236
170,39290,1140,1430,Nam,CH1,GiaDung,92474
171,39427,1157,1459,Bac,CH2,DienTu,99710
172,39564,1174,1488,Trung,CH3,ThucPham,89540
173,39701,1191,1517,Nam,CH1,GiaDung,95973
174,39838,1208,1546,Bac,CH2,DienTu,103435
175,39975,1225,1575,Trung,CH3,ThucPham,92844
176,40112,1242,1604,Nam,CH1,GiaDung,99472
177,40249,1259,1633,Bac,CH2,DienTu,107161
178,40386,1276,1662,Trung,CH3,ThucPham,96149
179,40523,1293,1691,Nam,CH1,GiaDung,102971
180,40660,1310,1720,Bac,CH2,DienTu,110886
181,40797,1327,1749,Trung,CH3,ThucPham,99453
182,40934,1344,1778,Nam,CH1,GiaDung,106469
183,41071,1361,1807,Bac,CH2,DienTu,114612
184,41208,1378,1836,Trung,CH3,ThucPham,102757
185,41345,1395,1865,Nam,CH1,GiaDung,109968
186,41482,1412,1894,Bac,CH2,DienTu,118337
187,41619,1429,1923,Trung,CH3,ThucPham,106062
188,41756,1446,1952,Nam,CH1,GiaDung,113467
189,41893,1463,1981,Bac,CH2,DienTu,122063
190,42030,1480,2010,Trung,CH3,ThucPham,109366
191,42167,1497,2039,Nam,CH1,GiaDung,116965
192,42304,1514,2068,Bac,CH2,DienTu,125788
193,42441,1531,2097,Trung,CH3,ThucPham,112670
194,42578,1548,2126,Nam,CH1,GiaDung,120464
195,42715,465,2155,Bac,CH2,DienTu,68794
196,42852,482,2184,Trung,CH3,ThucPham,62119
197,42989,499,2213,Nam,CH1,GiaDung,66939
198,43126,516,2242,Bac,CH2,DienTu,72519
199,43263,533,2271,Trung,CH3,ThucPham,65423
200,43400,550,2300,Nam,CH1,GiaDung,70438
201,43537,567,2329,Bac,CH2,DienTu,76245
202,43674,584,2358,Trung,CH3,ThucPham,68727
203,43811,601,2387,Nam,CH1,GiaDung,73936
204,43948,618,2416,Bac,CH2,DienTu,79970
205,44085,635,2445,Trung,CH3,ThucPham,72032
206,44222,652,2474,Nam,CH1,GiaDung,77435
207,44359,669,2503,Bac,CH2,DienTu,83696
208,44496,686,2532,Trung,CH3,ThucPham,75336
209,44633,703,2561,Nam,CH1,GiaDung,80934
210,44770,720,2590,Bac,CH2,DienTu,87421
211,44907,737,2619,Trung,CH3,ThucPham,78640
212,45044,754,2648,Nam,CH1,GiaDung,84432
213,45181,771,2677,Bac,CH2,DienTu,91147
214,45318,788,2706,Trung,CH3,ThucPham,81945
215,45455,805,2735,Nam,CH1,GiaDung,87931
216,45592,822,2764,Bac,CH2,DienTu,94872
217,45729,839,2793,Trung,CH3,ThucPham,85249
218,45866,856,2822,Nam,CH1,GiaDung,91430
219,46003,873,2851,Bac,CH2,DienTu,98598
220,46140,890,2880,Trung,CH3,ThucPham,88553
221,46277,907,2909,Nam,CH1,GiaDung,94929
222,46414,924,2938,Bac,CH2,DienTu,102323
223,46551,941,2967,Trung,CH3,ThucPham,91858
224,46688,958,2996,Nam,CH1,GiaDung,98427
225,46825,975,3025,Bac,CH2,DienTu,106049
226,46962,992,3054,Trung,CH3,ThucPham,95162
227,47099,1009,3083,Nam,CH1,GiaDung,101926
228,47236,1026,912,Bac,CH2,DienTu,93329
229,47373,1043,941,Trung,CH3,ThucPham,83880
230,47510,1060,970,Nam,CH1,GiaDung,89981
231,47647,1077,999,Bac,CH2,DienTu,97055
232,47784,1094,1028,Trung,CH3,ThucPham,87185
233,47921,1111,1057,Nam,CH1,GiaDung,93479
234,48058,1128,1086,Bac,CH2,DienTu,100780
235,48195,1145,1115,Trung,CH3,ThucPham,90489
236,48332,1162,1144,Nam,CH1,GiaDung,96978
237,48469,1179,1173,Bac,CH2,DienTu,104506
238,48606,1196,1202,Trung,CH3,ThucPham,93793
239,48743,1213,1231,Nam,CH1,GiaDung,100477
240,48880,1230,1260,Bac,CH2,DienTu,108231
241,49017,1247,1289,Trung,CH3,ThucPham,97098
242,49154,1264,1318,Nam,CH1,GiaDung,103976
243,49291,1281,1347,Bac,CH2,DienTu,111957
244,49428,1298,1376,Trung,CH3,ThucPham,100402
245,49565,1315,1405,Nam,CH1,GiaDung,107474
246,49702,1332,1434,Bac,CH2,DienTu,115682
247,49839,1349,1463,Trung,CH3,ThucPham,103706
248,49976,1366,1492,Nam,CH1,GiaDung,110973
249,50113,1383,1521,Bac,CH2,DienTu,119408
250,50250,1400,1550,Trung,CH3,ThucPham,107011
251,50387,1417,1579,Nam,CH1,GiaDung,114472
252,50524,1434,1608,Bac,CH2,DienTu,123133
253,50661,1451,1637,Trung,CH3,ThucPham,110315
254,50798,1468,1666,Nam,CH1,GiaDung,117970
255,50935,1485,1695,Bac,CH2,DienTu,126859
256,51072,1502,1724,Trung,CH3,ThucPham,113619
257,51209,1519,1753,Nam,CH1,GiaDung,121469
258,51346,1536,1782,Bac,CH2,DienTu,130584
259,51483,453,1811,Trung,CH3,ThucPham,63068
260,51620,470,1840,Nam,CH1,GiaDung,67944
261,51757,487,1869,Bac,CH2,DienTu,73589
262,51894,504,1898,Trung,CH3,ThucPham,66372
263,52031,521,1927,Nam,CH1,GiaDung,71443
264,52168,538,1956,Bac,CH2,DienTu,77315
265,52305,555,1985,Trung,CH3,ThucPham,69676
266,52442,572,2014,Nam,CH1,GiaDung,74941
267,52579,589,2043,Bac,CH2,DienTu,81040
268,52716,606,2072,Trung,CH3,ThucPham,72981
269,52853,623,2101,Nam,CH1,GiaDung,78440
270,52990,640,2130,Bac,CH2,DienTu,84766
271,53127,657,2159,Trung,CH3,ThucPham,76285
272,53264,674,2188,Nam,CH1,GiaDung,81939
273,53401,691,2217,Bac,CH2,DienTu,88491
274,53538,708,2246,Trung,CH3,ThucPham,79589
275,53675,725,2275,Nam,CH1,GiaDung,85437
276,53812,742,2304,Bac,CH2,DienTu,92217
277,53949,759,2333,Trung,CH3,ThucPham,82894
278,54086,776,2362,Nam,CH1,GiaDung,88936
279,54223,793,2391,Bac,CH2,DienTu,95942
280,54360,810,2420,Trung,CH3,ThucPham,86198
281,54497,827,2449,Nam,CH1,GiaDung,92435
282,54634,844,2478,Bac,CH2,DienTu,99668
283,54771,861,2507,Trung,CH3,ThucPham,89503
284,54908,878,2536,Nam,CH1,GiaDung,95934
285,55045,895,2565,Bac,CH2,DienTu,103393
286,55182,912,2594,Trung,CH3,ThucPham,92807
287,55319,929,2623,Nam,CH1,GiaDung,99432
288,55456,946,2652,Bac,CH2,DienTu,107119
289,55593,963,2681,Trung,CH3,ThucPham,96111
290,55730,980,2710,Nam,CH1,GiaDung,102931
291,55867,997,2739,Bac,CH2,DienTu,110844
292,56004,1014,2768,Trung,CH3,ThucPham,99416
293,56141,1031,2797,Nam,CH1,GiaDung,106430
294,56278,1048,2826,Bac,CH2,DienTu,114570
295,56415,1065,2855,Trung,CH3,ThucPham,102720
296,56552,1082,2884,Nam,CH1,GiaDung,109928
297,56689,1099,2913,Bac,CH2,DienTu,118295
298,56826,1116,2942,Trung,CH3,ThucPham,106024
299,56963,1133,2971,Nam,CH1,GiaDung,113427
300,57100,1150,3000,Bac,CH2,DienTu,122021
301,57237,1167,3029,Trung,CH3,ThucPham,109329
302,57374,1184,3058,Nam,CH1,GiaDung,116926
303,57511,1201,3087,Bac,CH2,DienTu,125746
304,57648,1218,916,Trung,CH3,ThucPham,98047
305,57785,1235,945,Nam,CH1,GiaDung,104981
306,57922,1252,974,Bac,CH2,DienTu,113027
307,58059,1269,1003,Trung,CH3,ThucPham,101351
308,58196,1286,1032,Nam,CH1,GiaDung,108479
309,58333,1303,1061,Bac,CH2,DienTu,116752
310,58470,1320,1090,Trung,CH3,ThucPham,104656
311,58607,1337,1119,Nam,CH1,GiaDung,111978
312,58744,1354,1148,Bac,CH2,DienTu,120478
313,58881,1371,1177,Trung,CH3,ThucPham,107960
314,59018,1388,1206,Nam,CH1,GiaDung,115477
315,59155,1405,1235,Bac,CH2,DienTu,124203
316,59292,1422,1264,Trung,CH3,ThucPham,111264
317,59429,1439,1293,Nam,CH1,GiaDung,118975
318,59566,1456,1322,Bac,CH2,DienTu,127929
319,59703,1473,1351,Trung,CH3,ThucPham,114569
320,59840,1490,1380,Nam,CH1,GiaDung,122474
321,59977,1507,1409,Bac,CH2,DienTu,131654
322,60114,1524,1438,Trung,CH3,ThucPham,117873
323,60251,1541,1467,Nam,CH1,GiaDung,125973
324,60388,458,1496,Bac,CH2,DienTu,74660
325,60525,475,1525,Trung,CH3,ThucPham,67321
326,60662,492,1554,Nam,CH1,GiaDung,72448
327,60799,509,1583,Bac,CH2,DienTu,78385
328,60936,526,1612,Trung,CH3,ThucPham,70626
329,61073,543,1641,Nam,CH1,GiaDung,75946
330,61210,560,1670,Bac,CH2,DienTu,82111
331,61347,577,1699,Trung,CH3,ThucPham,73930
332,61484,594,1728,Nam,CH1,GiaDung,79445
333,61621,611,1757,Bac,CH2,DienTu,85836
334,61758,628,1786,Trung,CH3,ThucPham,77234
335,61895,645,1815,Nam,CH1,GiaDung,82944
336,62032,662,1844,Bac,CH2,DienTu,89562
337,62169,679,1873,Trung,CH3,ThucPham,80539
338,62306,696,1902,Nam,CH1,GiaDung,86442
339,62443,713,1931,Bac,CH2,DienTu,93287
340,62580,730,1960,Trung,CH3,ThucPham,83843
341,62717,747,1989,Nam,CH1,GiaDung,89941
342,62854,764,2018,Bac,CH2,DienTu,97013
343,62991,781,2047,Trung,CH3,ThucPham,87147
344,63128,798,2076,Nam,CH1,GiaDung,93440
345,63265,815,2105,Bac,CH2,DienTu,100738
346,63402,832,2134,Trung,CH3,ThucPham,90452
347,63539,849,2163,Nam,CH1,GiaDung,96939
348,63676,866,2192,Bac,CH2,DienTu,104463
349,63813,883,2221,Trung,CH3,ThucPham,93756
350,63950,900,2250,Nam,CH1,GiaDung,100437
351,64087,917,2279,Bac,CH2,DienTu,108189
352,64224,934,2308,Trung,CH3,ThucPham,97060
353,64361,951,2337,Nam,CH1,GiaDung,103936
354,64498,968,2366,Bac,CH2,DienTu,111914
355,64635,985,2395,Trung,CH3,ThucPham,100365
356,64772,1002,2424,Nam,CH1,GiaDung,107435
357,64909,1019,2453,Bac,CH2,DienTu,115640
358,65046,1036,2482,Trung,CH3,ThucPham,103669
359,65183,1053,2511,Nam,CH1,GiaDung,110933
360,65320,1070,2540,Bac,CH2,DienTu,119365
361,65457,1087,2569,Trung,CH3,ThucPham,106973
362,65594,1104,2598,Nam,CH1,GiaDung,114432
363,65731,1121,2627,Bac,CH2,DienTu,123091
364,65868,1138,2656,Trung,CH3,ThucPham,110278
365,16005,1155,2685,Nam,CH1,GiaDung,88231
366,16142,1172,2714,Bac,CH2,DienTu,95191
367,16279,1189,2743,Trung,CH3,ThucPham,85532
368,16416,1206,2772,Nam,CH1,GiaDung,91730
369,16553,1223,2801,Bac,CH2,DienTu,98917
370,16690,1240,2830,Trung,CH3,ThucPham,88836
371,16827,1257,2859,Nam,CH1,GiaDung,95228
372,16964,1274,2888,Bac,CH2,DienTu,102642
373,17101,1291,2917,Trung,CH3,ThucPham,92141
374,17238,1308,2946,Nam,CH1,GiaDung,98727
375,17375,1325,2975,Bac,CH2,DienTu,106368
376,17512,1342,3004,Trung,CH3,ThucPham,95445
377,17649,1359,3033,Nam,CH1,GiaDung,102226
378,17786,1376,3062,Bac,CH2,DienTu,110093
379,17923,1393,3091,Trung,CH3,ThucPham,98749
380,18060,1410,920,Nam,CH1,GiaDung,90280
381,18197,1427,949,Bac,CH2,DienTu,97374
382,18334,1444,978,Trung,CH3,ThucPham,87468
383,18471,1461,1007,Nam,CH1,GiaDung,93779
384,18608,1478,1036,Bac,CH2,DienTu,101099
385,18745,1495,1065,Trung,CH3,ThucPham,90772
386,18882,1512,1094,Nam,CH1,GiaDung,97278
387,19019,1529,1123,Bac,CH2,DienTu,104825
388,19156,1546,1152,Trung,CH3,ThucPham,94076
389,19293,463,1181,Nam,CH1,GiaDung,43753
390,19430,480,1210,Bac,CH2,DienTu,47830
391,19567,497,1239,Trung,CH3,ThucPham,43525
392,19704,514,1268,Nam,CH1,GiaDung,47251
393,19841,531,1297,Bac,CH2,DienTu,51556
394,19978,548,1326,Trung,CH3,ThucPham,46829
395,20115,565,1355,Nam,CH1,GiaDung,50750
396,20252,582,1384,Bac,CH2,DienTu,55281
397,20389,599,1413,Trung,CH3,ThucPham,50133
398,20526,616,1442,Nam,CH1,GiaDung,54249
399,20663,633,1471,Bac,CH2,DienTu,59007
400,20800,650,1500,Trung,CH3,ThucPham,53438
401,20937,667,1529,Nam,CH1,GiaDung,57747
402,21074,684,1558,Bac,CH2,DienTu,62732
403,21211,701,1587,Trung,CH3,ThucPham,56742
404,21348,718,1616,Nam,CH1,GiaDung,61246
405,21485,735,1645,Bac,CH2,DienTu,66458
406,21622,752,1674,Trung,CH3,ThucPham,60046
407,21759,769,1703,Nam,CH1,GiaDung,64745
408,21896,786,1732,Bac,CH2,DienTu,70183
409,22033,803,1761,Trung,CH3,ThucPham,63351
410,22170,820,1790,Nam,CH1,GiaDung,68244
411,22307,837,1819,Bac,CH2,DienTu,73909
412,22444,854,1848,Trung,CH3,ThucPham,66655
413,22581,871,1877,Nam,CH1,GiaDung,71742
414,22718,888,1906,Bac,CH2,DienTu,77634
415,22855,905,1935,Trung,CH3,ThucPham,69960
416,22992,922,1964,Nam,CH1,GiaDung,75241
417,23129,939,1993,Bac,CH2,DienTu,81360
418,23266,956,2022,Trung,CH3,ThucPham,73264
419,23403,973,2051,Nam,CH1,GiaDung,78740
420,23540,990,2080,Bac,CH2,DienTu,85085
421,23677,1007,2109,Trung,CH3,ThucPham,76568
422,23814,1024,2138,Nam,CH1,GiaDung,82238
423,23951,1041,2167,Bac,CH2,DienTu,88811
424,24088,1058,2196,Trung,CH3,ThucPham,79873
425,24225,1075,2225,Nam,CH1,GiaDung,85737
426,24362,1092,2254,Bac,CH2,DienTu,92536
427,24499,1109,2283,Trung,CH3,ThucPham,83177
428,24636,1126,2312,Nam,CH1,GiaDung,89236
429,24773,1143,2341,Bac,CH2,DienTu,96261
430,24910,1160,2370,Trung,CH3,ThucPham,86481
431,25047,1177,2399,Nam,CH1,GiaDung,92735
432,25184,1194,2428,Bac,CH2,DienTu,99987
433,25321,1211,2457,Trung,CH3,ThucPham,89786
434,25458,1228,2486,Nam,CH1,GiaDung,96233
435,25595,1245,2515,Bac,CH2,DienTu,103712
436,25732,1262,2544,Trung,CH3,ThucPham,93090
437,25869,1279,2573,Nam,CH1,GiaDung,99732
438,26006,1296,2602,Bac,CH2,DienTu,107438
439,26143,1313,2631,Trung,CH3,ThucPham,96394
440,26280,1330,2660,Nam,CH1,GiaDung,103231
441,26417,1347,2689,Bac,CH2,DienTu,111163
442,26554,1364,2718,Trung,CH3,ThucPham,99699
443,26691,1381,2747,Nam,CH1,GiaDung,106729
444,26828,1398,2776,Bac,CH2,DienTu,114889
445,26965,1415,2805,Trung,CH3,ThucPham,103003
446,27102,1432,2834,Nam,CH1,GiaDung,110228
447,27239,1449,2863,Bac,CH2,DienTu,118614
448,27376,1466,2892,Trung,CH3,ThucPham,106307
449,27513,1483,2921,Nam,CH1,GiaDung,113727
450,27650,1500,2950,Bac,CH2,DienTu,122340
451,27787,1517,2979,Trung,CH3,ThucPham,109612
452,27924,1534,3008,Nam,CH1,GiaDung,117226
453,28061,451,3037,Bac,CH2,DienTu,65345
454,28198,468,3066,Trung,CH3,ThucPham,59060
455,28335,485,3095,Nam,CH1,GiaDung,63700
456,28472,502,924,Bac,CH2,DienTu,52626
457,28609,519,953,Trung,CH3,ThucPham,47778
458,28746,536,982,Nam,CH1,GiaDung,51755
459,28883,553,1011,Bac,CH2,DienTu,56351
460,29020,570,1040,Trung,CH3,ThucPham,51083
461,29157,587,1069,Nam,CH1,GiaDung,55254
462,29294,604,1098,Bac,CH2,DienTu,60077
463,29431,621,1127,Trung,CH3,ThucPham,54387
464,29568,638,1156,Nam,CH1,GiaDung,58752
465,29705,655,1185,Bac,CH2,DienTu,63802
466,29842,672,1214,Trung,CH3,ThucPham,57691
467,29979,689,1243,Nam,CH1,GiaDung,62251
468,30116,706,1272,Bac,CH2,DienTu,67528
469,30253,723,1301,Trung,CH3,ThucPham,60996
470,30390,740,1330,Nam,CH1,GiaDung,65750
471,30527,757,1359,Bac,CH2,DienTu,71253
472,30664,774,1388,Trung,CH3,ThucPham,64300
473,30801,791,1417,Nam,CH1,GiaDung,69249
474,30938,808,1446,Bac,CH2,DienTu,74979
475,31075,825,1475,Trung,CH3,ThucPham,67604
476,31212,842,1504,Nam,CH1,GiaDung,72747
477,31349,859,1533,Bac,CH2,DienTu,78704
478,31486,876,1562,Trung,CH3,ThucPham,70909
479,31623,893,1591,Nam,CH1,GiaDung,76246
480,31760,910,1620,Bac,CH2,DienTu,82430
481,31897,927,1649,Trung,CH3,ThucPham,74213
482,32034,944,1678,Nam,CH1,GiaDung,79745
483,32171,961,1707,Bac,CH2,DienTu,86155
484,32308,978,1736,Trung,CH3,ThucPham,77517
485,32445,995,1765,Nam,CH1,GiaDung,83243
486,32582,1012,1794,Bac,CH2,DienTu,89881
487,32719,1029,1823,Trung,CH3,ThucPham,80822
488,32856,1046,1852,Nam,CH1,GiaDung,86742
489,32993,1063,1881,Bac,CH2,DienTu,93606
490,33130,1080,1910,Trung,CH3,ThucPham,84126
491,33267,1097,1939,Nam,CH1,GiaDung,90241
492,33404,1114,1968,Bac,CH2,DienTu,97332
493,33541,1131,1997,Trung,CH3,ThucPham,87430
494,33678,1148,2026,Nam,CH1,GiaDung,93740
495,33815,1165,2055,Bac,CH2,DienTu,101057
496,33952,1182,2084,Trung,CH3,ThucPham,90735
497,34089,1199,2113,Nam,CH1,GiaDung,97238
498,34226,1216,2142,Bac,CH2,DienTu,104783
499,34363,1233,2171,Trung,CH3,ThucPham,94039
500,34500,1250,2200,Nam,CH1,GiaDung,100737
501,34637,1267,2229,Bac,CH2,DienTu,108508
502,34774,1284,2258,Trung,CH3,ThucPham,97343
503,34911,1301,2287,Nam,CH1,GiaDung,104236
504,35048,1318,2316,Bac,CH2,DienTu,112234
505,35185,1335,2345,Trung,CH3,ThucPham,100648
506,35322,1352,2374,Nam,CH1,GiaDung,107734
507,35459,1369,2403,Bac,CH2,DienTu,115959
508,35596,1386,2432,Trung,CH3,ThucPham,103952
509,35733,1403,2461,Nam,CH1,GiaDung,111233
510,35870,1420,2490,Bac,CH2,DienTu,119685
511,36007,1437,2519,Trung,CH3,ThucPham,107256
512,36144,1454,2548,Nam,CH1,GiaDung,114732
